,iso3,year,ideal
3383,ITA,1963,1.492778
3384,ITA,1965,1.569135
3385,ITA,1966,1.636508
3386,ITA,1967,1.655584
3387,ITA,1968,1.911777
3388,ITA,1969,1.542821
3389,ITA,1970,1.51072
3390,ITA,1971,1.272698
3391,ITA,1972,1.555063
3392,ITA,1973,1.506605
3393,ITA,1974,1.535749
3394,ITA,1975,1.556945
3395,ITA,1976,1.831647
3396,ITA,1977,1.581385
3397,ITA,1978,1.725818
3398,ITA,1979,1.634187
3399,ITA,1980,1.642625
3400,ITA,1981,1.676096
3401,ITA,1982,1.633121
3402,ITA,1983,1.631932
3403,ITA,1984,1.746314
3404,ITA,1985,1.765492
3405,ITA,1986,1.781392
3406,ITA,1987,1.734401
3407,ITA,1988,1.717823
3408,ITA,1989,1.820219
3409,ITA,1990,1.744348
3410,ITA,1991,1.630573
3411,ITA,1992,1.616027
3412,ITA,1993,1.622687
3413,ITA,1994,1.614182
3414,ITA,1995,1.307428
3415,ITA,1996,1.495113
3416,ITA,1997,1.518642
3417,ITA,1998,1.290787
3418,ITA,1999,1.14047
3419,ITA,2000,1.127902
3420,ITA,2001,1.155094
3421,ITA,2002,1.226488
3422,ITA,2003,1.130814
3423,ITA,2004,0.9962385
3424,ITA,2005,1.020713
3425,ITA,2006,0.873455
3426,ITA,2007,0.9261098
3427,ITA,2008,0.9005555
3428,ITA,2009,1.057836
3429,ITA,2010,0.897921
3430,ITA,2011,0.9791541
3431,ITA,2012,0.8819936
3432,ITA,2013,0.9625599
3433,ITA,2014,0.9346507
3434,ITA,2015,0.9733355
3435,ITA,2016,0.9470869
3436,ITA,2017,1.006006
3437,ITA,2018,1.070252
3438,ITA,2019,1.057245
3439,ITA,2020,0.9580961
3440,ITA,2021,1.076596
3441,ITA,2022,1.206129
3442,SMR,1991,1.331712
3443,SMR,1992,1.347657
3444,SMR,1993,1.229418
3445,SMR,1995,0.8666407
3446,SMR,1996,0.844848
3447,SMR,1997,1.099995
3448,SMR,1998,0.8272071
3449,SMR,1999,0.77479
3450,SMR,2000,0.8976954
3451,SMR,2001,0.9963883
3452,SMR,2002,0.8939762
3453,SMR,2003,0.9098101
3454,SMR,2004,0.8583031
3455,SMR,2005,0.8583228
3456,SMR,2006,0.9517219
3457,SMR,2007,0.831807
3458,SMR,2008,0.8906599
3459,SMR,2009,0.8895145
3460,SMR,2010,0.8338738
3461,SMR,2011,0.9085248
3462,SMR,2012,0.8952558
3463,SMR,2013,0.8048576
3464,SMR,2014,0.8048385
3465,SMR,2015,0.643955
3466,SMR,2016,0.6315968
3467,SMR,2017,0.6847967
3468,SMR,2018,0.7262337
3469,SMR,2019,0.742026
3470,SMR,2020,0.6704357
3471,SMR,2021,0.658733
3472,SMR,2022,0.8373737
3473,MLT,1965,1.751599
3474,MLT,1966,1.998348
3475,MLT,1967,1.358663
3476,MLT,1968,1.744331
3477,MLT,1969,1.862369
3478,MLT,1970,1.757267
3479,MLT,1971,0.5567398
3480,MLT,1972,0.3094093
3481,MLT,1973,-0.1052618
3482,MLT,1974,-0.562857
3483,MLT,1975,-0.5128114
3484,MLT,1976,-0.425867
3485,MLT,1977,-0.2896007
3486,MLT,1978,-0.084807
3487,MLT,1979,-0.09463735
3488,MLT,1980,-0.1284823
3489,MLT,1981,-0.3406574
3490,MLT,1982,-0.2287518
3491,MLT,1983,-0.300829
3492,MLT,1984,-0.3795108
3493,MLT,1985,-0.2530517
3494,MLT,1986,-0.3501132
3495,MLT,1987,0.5544989
3496,MLT,1988,0.6097207
3497,MLT,1989,0.723093
3498,MLT,1990,0.635126
3499,MLT,1991,0.5114712
3500,MLT,1992,0.7908867
3501,MLT,1993,0.9258242
3502,MLT,1994,1.049251
3503,MLT,1995,0.8524261
3504,MLT,1996,0.4115766
3505,MLT,1997,0.4045842
3506,MLT,1998,0.4303457
3507,MLT,1999,0.6783963
3508,MLT,2000,0.6573742
3509,MLT,2001,0.7293035
3510,MLT,2002,0.6299569
3511,MLT,2003,0.7267663
3512,MLT,2004,0.6716911
3513,MLT,2005,0.677213
3514,MLT,2006,0.7391233
3515,MLT,2007,0.7362208
3516,MLT,2008,0.6825506
3517,MLT,2009,0.7062802
3518,MLT,2010,0.6267996
3519,MLT,2011,0.6861445
3520,MLT,2012,0.5875875
3521,MLT,2013,0.6356563
3522,MLT,2014,0.6828819
3523,MLT,2015,0.5526624
3524,MLT,2016,0.6504649
3525,MLT,2017,0.6777993
3526,MLT,2018,0.6819674
3527,MLT,2019,0.7266041
3528,MLT,2020,0.6336086
3529,MLT,2021,0.6814739
3530,MLT,2022,0.7476485
3531,ALB,1956,-2.788616
3532,ALB,1957,-2.767922
3533,ALB,1958,-2.822626
3534,ALB,1959,-2.779438
3535,ALB,1960,-2.23279
3536,ALB,1961,-2.282853
3537,ALB,1962,-2.285348
3538,ALB,1963,-2.475274
3539,ALB,1965,-2.539881
3540,ALB,1966,-2.336502
3541,ALB,1967,-2.324577
3542,ALB,1968,-2.424203
3543,ALB,1969,-2.46682
3544,ALB,1970,-2.216286
3545,ALB,1971,-1.957302
3546,ALB,1972,-1.158438
3547,ALB,1973,-0.7138118
3548,ALB,1974,-1.16142
3549,ALB,1975,-0.5060744
3550,ALB,1976,-1.397373
3551,ALB,1977,-1.559543
3552,ALB,1978,-1.941731
3553,ALB,1979,-2.056164
3554,ALB,1980,-1.364046
3555,ALB,1981,-1.144173
3556,ALB,1982,-1.373282
3557,ALB,1983,-1.407556
3558,ALB,1984,-1.077727
3559,ALB,1985,-1.341184
3560,ALB,1986,-1.291334
3561,ALB,1987,-1.526485
3562,ALB,1988,-1.255022
3563,ALB,1989,-1.001133
3564,ALB,1990,-0.8238994
3565,ALB,1991,1.027673
3566,ALB,1992,1.019832
3567,ALB,1993,0.9594373
3568,ALB,1994,1.096103
3569,ALB,1995,0.9770516
3570,ALB,1996,1.26057
3571,ALB,1997,1.19935
3572,ALB,1998,1.224643
3573,ALB,1999,1.068245
3574,ALB,2000,1.347193
3575,ALB,2001,1.3897
3576,ALB,2002,1.163808
3577,ALB,2003,1.29469
3578,ALB,2004,1.245816
3579,ALB,2005,1.557851
3580,ALB,2006,1.079921
3581,ALB,2007,0.8587381
3582,ALB,2008,1.000647
3583,ALB,2009,0.7391558
3584,ALB,2010,0.9451601
3585,ALB,2011,1.023434
3586,ALB,2012,0.9681371
3587,ALB,2013,0.9634515
3588,ALB,2014,0.9270134
3589,ALB,2015,0.9572673
3590,ALB,2016,1.01815
3591,ALB,2017,1.033512
3592,ALB,2018,1.051437
3593,ALB,2019,1.120861
3594,ALB,2020,1.054529
3595,ALB,2021,1.10107
3596,ALB,2022,1.214319
3597,MNE,2006,0.9672232
3598,MNE,2007,0.9309549
3599,MNE,2008,0.9230072
3600,MNE,2009,0.940089
3601,MNE,2010,0.8924865
3602,MNE,2011,0.8788884
3603,MNE,2012,0.8207978
3604,MNE,2013,0.8167862
3605,MNE,2014,0.7609034
3606,MNE,2015,0.7658019
3607,MNE,2016,1.145186
3608,MNE,2017,1.045501
3609,MNE,2018,0.9928823
3610,MNE,2019,1.036989
3611,MNE,2020,0.9921402
3612,MNE,2021,1.071086
3613,MNE,2022,1.053133
3614,MKD,1993,0.6229372
3615,MKD,1994,1.08894
3616,MKD,1995,0.9844366
3617,MKD,1996,1.173339
3618,MKD,1997,1.187307
3619,MKD,1998,0.9627014
3620,MKD,1999,0.9066623
3621,MKD,2000,1.011178
3622,MKD,2001,1.02958
3623,MKD,2002,1.007659
3624,MKD,2003,1.019352
3625,MKD,2004,0.9500962
3626,MKD,2005,0.9712235
3627,MKD,2006,0.9834592
3628,MKD,2007,0.971761
3629,MKD,2008,0.98772
3630,MKD,2009,1.030419
3631,MKD,2010,0.8548758
3632,MKD,2011,0.9413007
3633,MKD,2012,0.9214542
3634,MKD,2013,0.8552574
3635,MKD,2014,0.8986001
3636,MKD,2015,0.8112059
3637,MKD,2016,0.8116422
3638,MKD,2017,0.8698239
3639,MKD,2018,0.8742835
3640,MKD,2019,1.016127
3641,MKD,2020,1.006472
3642,MKD,2021,1.044431
3643,MKD,2022,1.060623
3644,HRV,1992,1.102827
3645,HRV,1993,1.157238
3646,HRV,1994,0.9387134
3647,HRV,1995,1.016994
3648,HRV,1996,1.090568
3649,HRV,1997,1.192465
3650,HRV,1998,0.9881738
3651,HRV,1999,0.9197167
3652,HRV,2000,1.084691
3653,HRV,2001,0.8801264
3654,HRV,2002,0.9648923
3655,HRV,2003,1.028767
3656,HRV,2004,0.9548731
3657,HRV,2005,0.9831676
3658,HRV,2006,0.9801631
3659,HRV,2007,0.9830233
3660,HRV,2008,0.9875499
3661,HRV,2009,0.9378294
3662,HRV,2010,0.998138
3663,HRV,2011,0.9695786
3664,HRV,2012,0.9942846
3665,HRV,2013,0.969801
3666,HRV,2014,0.9288958
3667,HRV,2015,1.020927
3668,HRV,2016,1.115865
3669,HRV,2017,1.050563
3670,HRV,2018,1.07332
3671,HRV,2019,1.035334
3672,HRV,2020,1.14255
3673,HRV,2021,1.158723
3674,HRV,2022,1.310261
3675,YUG,1946,-1.984886
3676,YUG,1947,-1.992457
3677,YUG,1948,-2.388648
3678,YUG,1949,-1.444599
3679,YUG,1950,-1.025648
3680,YUG,1951,-0.628772
3681,YUG,1952,-0.1883348
3682,YUG,1953,-0.5721347
3683,YUG,1954,-0.8863534
3684,YUG,1955,-1.328284
3685,YUG,1956,-1.454825
3686,YUG,1957,-1.134189
3687,YUG,1958,-1.365269
3688,YUG,1959,-1.719682
3689,YUG,1960,-1.480008
3690,YUG,1961,-1.357548
3691,YUG,1962,-1.501624
3692,YUG,1963,-0.9980435
3693,YUG,1965,-0.9801602
3694,YUG,1966,-1.507835
3695,YUG,1967,-1.265882
3696,YUG,1968,-1.265758
3697,YUG,1969,-1.285123
3698,YUG,1970,-0.9996311
3699,YUG,1971,-0.9380532
3700,YUG,1972,-0.3556306
3701,YUG,1973,-0.5572113
3702,YUG,1974,-0.8029629
3703,YUG,1975,-0.6318707
3704,YUG,1976,-0.4844587
3705,YUG,1977,-0.3314277
3706,YUG,1978,-0.3401938
3707,YUG,1979,-0.2317354
3708,YUG,1980,-0.2263479
3709,YUG,1981,-0.2834531
3710,YUG,1982,-0.3284463
3711,YUG,1983,-0.3936552
3712,YUG,1984,-0.6042595
3713,YUG,1985,-0.5158491
3714,YUG,1986,-0.5945384
3715,YUG,1987,-0.6427727
3716,YUG,1988,-0.63967
3717,YUG,1989,-0.6614221
3718,YUG,1990,-0.7943014
3719,YUG,1991,-0.7409131
3720,YUG,1992,-0.749986
3721,YUG,2000,0.7514581
3722,YUG,2001,0.9059486
3723,YUG,2002,0.9981235
3724,YUG,2003,0.9885115
3725,YUG,2004,0.9588938
3726,YUG,2005,0.9472616
3727,YUG,2006,0.9777388
3728,YUG,2007,0.8121663
3729,YUG,2008,0.4303541
3730,YUG,2009,0.4209111
3731,YUG,2010,0.4720617
3732,YUG,2011,0.4256566
3733,YUG,2012,0.4843179
3734,YUG,2013,0.6019475
3735,YUG,2014,0.6181682
3736,YUG,2015,0.4963753
3737,YUG,2016,0.5017451
3738,YUG,2017,0.5024258
3739,YUG,2018,0.3641192
3740,YUG,2019,0.4283187
3741,YUG,2020,0.4268499
3742,YUG,2021,0.402497
3743,YUG,2022,0.3962263
3744,BIH,1991,-0.1919239
3745,BIH,1992,-0.1909656
3746,BIH,1993,-0.0143091
3747,BIH,1994,0.1389306
3748,BIH,1995,0.6504651
3749,BIH,1996,0.6125965
3750,BIH,1999,0.777445
3751,BIH,2000,0.6870231
3752,BIH,2001,1.124229
3753,BIH,2002,1.086395
3754,BIH,2003,0.918392
3755,BIH,2004,0.9504111
3756,BIH,2005,1.006591
3757,BIH,2006,0.8750885
3758,BIH,2007,0.9421502
3759,BIH,2008,0.9837679
3760,BIH,2009,0.7119467
3761,BIH,2010,0.6401585
3762,BIH,2011,0.8505797
3763,BIH,2012,0.8406227
3764,BIH,2013,0.8369301
3765,BIH,2014,0.8476529
3766,BIH,2015,0.773271
3767,BIH,2016,0.7812791
3768,BIH,2017,0.7932816
3769,BIH,2018,0.7352261
3770,BIH,2019,0.7344322
3771,BIH,2020,0.6165613
3772,BIH,2021,0.6702916
3773,BIH,2022,0.8313231
3774,SVN,1992,1.330471
3775,SVN,1993,1.146731
3776,SVN,1994,1.18939
3777,SVN,1995,1.178111
3778,SVN,1996,1.411223
3779,SVN,1997,1.348995
3780,SVN,1998,1.214041
3781,SVN,1999,1.144244
3782,SVN,2000,1.126871
3783,SVN,2001,1.184273
3784,SVN,2002,1.154831
3785,SVN,2003,1.046202
3786,SVN,2004,1.021594
3787,SVN,2005,1.048428
3788,SVN,2006,1.026828
3789,SVN,2007,1.033554
3790,SVN,2008,0.9970999
3791,SVN,2009,0.9015291
3792,SVN,2010,0.8979825
3793,SVN,2011,0.9221414
3794,SVN,2012,0.8955905
3795,SVN,2013,0.9019219
3796,SVN,2014,0.8881311
3797,SVN,2015,1.013213
3798,SVN,2016,1.093318
3799,SVN,2017,1.046227
3800,SVN,2018,1.017511
3801,SVN,2019,1.006605
3802,SVN,2020,1.109971
3803,SVN,2021,1.137942
3804,SVN,2022,1.040958
3805,GRC,1946,2.05168
3806,GRC,1947,2.262295
3807,GRC,1948,1.913513
3808,GRC,1949,1.585661
3809,GRC,1950,1.698711
3810,GRC,1951,1.168838
3811,GRC,1952,1.280519
3812,GRC,1953,1.168159
3813,GRC,1954,0.06224152
3814,GRC,1955,0.3697751
3815,GRC,1956,0.4270681
3816,GRC,1957,0.07340242
3817,GRC,1958,0.1076418
3818,GRC,1959,0.8493087
3819,GRC,1960,1.142207
3820,GRC,1961,1.460949
3821,GRC,1962,1.252667
3822,GRC,1963,1.435487
3823,GRC,1965,0.5962508
3824,GRC,1966,1.178557
3825,GRC,1967,0.6910652
3826,GRC,1968,0.9268217
3827,GRC,1969,0.5585916
3828,GRC,1970,0.4135067
3829,GRC,1971,0.5505519
3830,GRC,1972,0.918111
3831,GRC,1973,1.064061
3832,GRC,1974,0.5644553
3833,GRC,1975,0.4351367
3834,GRC,1976,0.4026107
3835,GRC,1977,0.4762846
3836,GRC,1978,0.7490521
3837,GRC,1979,0.8444599
3838,GRC,1980,1.134456
3839,GRC,1981,0.797938
3840,GRC,1982,0.656932
3841,GRC,1983,0.5282999
3842,GRC,1984,0.4391379
3843,GRC,1985,0.671441
3844,GRC,1986,0.8045138
3845,GRC,1987,0.8814563
3846,GRC,1988,0.9797733
3847,GRC,1989,0.9653673
3848,GRC,1990,1.005995
3849,GRC,1991,0.9343652
3850,GRC,1992,0.9372212
3851,GRC,1993,0.9932897
3852,GRC,1994,1.237034
3853,GRC,1995,1.601688
3854,GRC,1996,1.502674
3855,GRC,1997,1.420192
3856,GRC,1998,1.214654
3857,GRC,1999,1.134561
3858,GRC,2000,1.123643
3859,GRC,2001,1.1456
3860,GRC,2002,1.045093
3861,GRC,2003,1.047532
3862,GRC,2004,0.9250041
3863,GRC,2005,0.9786276
3864,GRC,2006,1.022794
3865,GRC,2007,1.0281
3866,GRC,2008,0.9628174
3867,GRC,2009,0.9479596
3868,GRC,2010,-0.3322357
3869,GRC,2011,0.8480963
3870,GRC,2012,0.880622
3871,GRC,2013,0.9156397
3872,GRC,2014,0.8717513
3873,GRC,2015,0.8088163
3874,GRC,2016,0.7472701
3875,GRC,2017,0.9051044
3876,GRC,2018,0.8628552
3877,GRC,2019,1.018325
3878,GRC,2020,0.9295709
3879,GRC,2021,0.9133994
3880,GRC,2022,1.012445
3881,CYP,1960,0.2919017
3882,CYP,1961,0.05651319
3883,CYP,1962,0.2436167
3884,CYP,1963,0.4046905
3885,CYP,1965,-0.2354502
3886,CYP,1966,-0.238509
3887,CYP,1967,-0.2085583
3888,CYP,1968,0.00462791
3889,CYP,1969,-0.01241765
3890,CYP,1970,-0.1479125
3891,CYP,1971,-0.2063943
3892,CYP,1972,-0.02678846
3893,CYP,1973,0.03833978
3894,CYP,1974,-0.1575727
3895,CYP,1975,-0.1932894
3896,CYP,1976,-0.3803521
3897,CYP,1977,-0.3073424
3898,CYP,1978,-0.09523803
3899,CYP,1979,-0.1901458
3900,CYP,1980,-0.1769081
3901,CYP,1981,-0.461202
